a_year,a_ref,a_District,a_type,a_veh,a_cas,a_wkday,a_day,a_month,a_hour,a_min,a_gd1,a_gd2,a_ctype,a_speed,a_jdet,a_jcont,a_pedhum,a_pedphys,a_light,a_weat,a_roadsc,a_speccs,a_chaz,a_scene
2016,119,MEAN,3,1,1,FRI,8,1,19,1,307744,403747,13,60, , , , , , , , , , 
2016,120,ARND,3,1,1,FRI,8,1,19,7,362718,369308,13,30, , , , , , , , , , 
2016,121,LISC,3,2,2,FRI,8,1,21,29,326215,364193,13,30, , , , , , , , , , 
2016,122,MEAN,3,1,1,FRI,8,1,17,45,310641,403749,13,30, , , , , , , , , , 
2016,123,LISC,3,2,2,FRI,8,1,22,0,328693,349712,13,30, , , , , , , , , , 
2016,124,BELC,3,2,2,FRI,8,1,23,59,329342,372143,13,30, , , , , , , , , , 
2016,125,LISC,3,1,1,SAT,9,1,5,10,331115,360462,13,60, , , , , , , , , , 
2016,126,NEMD,1,3,3,SAT,9,1,9,56,312994,326806,13,60,1,1,1,1,2,4,2,1,1,1
2016,127,FERO,2,2,1,SAT,9,1,12,8,217540,346161,13,60,12,7,1,1,2,1,2,1,1,1
2016,128,DCST,2,2,1,SAT,9,1,13,19,243458,416677,13,30,2,7,1,1,1,1,2,1,1,1
2016,129,CCGL,3,2,1,SAT,9,1,14,15,286575,433115,13,60, , , , , , , , , , 
2016,130,ARBC,3,2,3,SAT,9,1,14,30,304733,356623,11,60, , , , , , , , , , 
2016,131,BELC,3,3,2,SAT,9,1,18,49,328945,369574,13,50, , , , , , , , , , 
2016,132,LISC,3,3,1,SAT,9,1,19,8,326806,366135,1,30, , , , , , , , , , 
2016,133,ARND,3,1,1,SAT,9,1,20,17,350662,381574,13,30, , , , , , , , , , 
2016,134,BELC,3,5,3,SAT,9,1,22,37,333052,377023,13,30, , , , , , , , , , 
2016,135,NEMD,2,1,1,SAT,9,1,23,20,334355,335574,13,60,12,7,1,1,6,2,2,1,1,1
2016,136,BELC,3,2,4,SUN,10,1,2,30,333997,375111,2,30, , , , , , , , , , 
2016,137,CCGL,3,2,1,SUN,10,1,10,0,306593,418485,13,40, , , , , , , , , , 
2016,138,CCGL,3,2,2,SUN,10,1,14,45,267359,418303,13,30, , , , , , , , , , 
2016,139,FERO,3,2,4,SUN,10,1,16,56,193982,357806,13,60, , , , , , , , , , 
2016,140,ARBC,3,2,1,SUN,10,1,20,0,302360,355466,13,30, , , , , , , , , , 
2016,141,MIDU,3,2,2,SUN,10,1,11,20,280848,360043,13,30, , , , , , , , , , 
2016,142,BELC,3,2,4,MON,11,1,0,40,335537,374623,13,30, , , , , , , , , , 
2016,143,BELC,3,2,1,MON,11,1,8,37,331990,373027,1,30, , , , , , , , , , 
2016,144,BELC,3,2,1,MON,11,1,10,0,332559,375756,13,30, , , , , , , , , , 
2016,145,DCST,3,1,1,MON,11,1,14,5,230438,394903,13,60, , , , , , , , , , 
2016,146,MIDU,3,2,1,MON,11,1,12,45,293679,393610,13,40, , , , , , , , , , 
2016,147,ARND,3,1,1,MON,11,1,15,14,351016,379904,13,30, , , , , , , , , , 
2016,148,ANTN,3,2,1,MON,11,1,15,20,334357,383307,13,30, , , , , , , , , , 
2016,149,DCST,3,2,1,MON,11,1,16,11,241737,418575,13,40, , , , , , , , , , 
2016,150,ANTN,2,2,3,MON,11,1,16,30,319751,377895,13,60,2,7,1,1,7,2,2,1,1,1
2016,151,FERO,3,1,1,MON,11,1,17,2,232678,377053,13,60, , , , , , , , , , 
2016,152,ARBC,3,2,1,MON,11,1,17,23,306623,357614,13,30, , , , , , , , , , 
2016,153,BELC,3,1,1,MON,11,1,16,45,331971,373062,13,30, , , , , , , , , , 
2016,154,BELC,3,1,1,MON,11,1,18,50,333157,374196,11,50, , , , , , , , , , 
2016,155,MIDU,3,1,1,MON,11,1,18,30,280142,363520,13,30, , , , , , , , , , 
2016,156,ANTN,3,2,3,MON,11,1,21,5,330504,383035,13,30, , , , , , , , , , 
2016,157,BELC,2,1,1,MON,11,1,21,32,333070,375311,13,30,1,1,1,1,4,5,2,1,1,1
2016,158,BELC,3,1,1,TUE,12,1,8,34,333034,372601,13,30, , , , , , , , , , 
2016,159,ARBC,2,1,1,MON,11,1,15,55,320554,353584,13,40,12,4,1,1,2,9,10,1,1,2
2016,160,MIDU,3,1,1,TUE,12,1,11,52,259790,359108,13,60, , , , , , , , , , 
2016,161,FERO,3,1,1,TUE,12,1,12,25,205614,358249,13,60, , , , , , , , , , 
2016,162,CCGL,3,1,1,TUE,12,1,12,28,285022,432041,2,30, , , , , , , , , , 
2016,163,ARBC,3,1,1,TUE,12,1,12,40,318243,350275,11,60, , , , , , , , , , 
2016,164,MEAN,3,2,2,TUE,12,1,13,10,311765,401063,11,60, , , , , , , , , , 
2016,165,ANTN,3,2,1,TUE,12,1,13,40,322939,380228,13,60, , , , , , , , , , 
2016,166,LISC,3,2,3,TUE,12,1,14,1,327704,368133,13,40, , , , , , , , , , 
2016,167,MIDU,3,3,2,TUE,12,1,14,33,273446,378328,13,60, , , , , , , , , , 
2016,168,MEAN,3,2,2,TUE,12,1,17,8,336303,385716,13,30, , , , , , , , , , 
2016,169,BELC,3,2,1,TUE,12,1,17,10,335145,377718,13,30, , , , , , , , , , 
2016,170,MEAN,3,2,2,TUE,12,1,17,39,339806,403282,13,30, , , , , , , , , , 
2016,171,MEAN,3,2,1,TUE,12,1,17,56,311535,402429,13,30, , , , , , , , , , 
2016,172,BELC,3,1,1,TUE,12,1,17,15,336008,372212,13,30, , , , , , , , , , 
2016,173,ARND,3,2,1,TUE,12,1,18,5,348885,372445,13,40, , , , , , , , , , 
2016,174,MEAN,3,1,3,TUE,12,1,18,48,339192,403080,13,30, , , , , , , , , , 
2016,175,LISC,3,1,1,TUE,12,1,21,0,337546,368746,13,60, , , , , , , , , , 
2016,176,DCST,3,2,2,TUE,12,1,21,0,234053,398180,1,30, , , , , , , , , , 
2016,177,ANTN,3,3,5,TUE,12,1,23,43,335397,383707,13,30, , , , , , , , , , 
2016,178,BELC,3,3,6,WED,13,1,2,6,332977,374044,13,30, , , , , , , , , , 
2016,179,NEMD,3,1,1,WED,13,1,7,10,343251,359563,13,60, , , , , , , , , , 
2016,180,DCST,3,2,1,WED,13,1,8,50,243325,421189,13,40, , , , , , , , , , 
2016,181,MEAN,3,2,1,WED,13,1,8,53,342058,389101,13,30, , , , , , , , , , 
2016,182,ARBC,3,1,2,WED,13,1,8,58,289713,343638,13,60, , , , , , , , , , 
2016,183,ARND,3,1,1,WED,13,1,9,0,361364,373455,13,60, , , , , , , , , , 
2016,184,LISC,3,2,2,WED,13,1,9,55,322890,356249,13,60, , , , , , , , , , 
2016,185,BELC,3,2,1,WED,13,1,10,44,333509,368515,13,40, , , , , , , , , , 
2016,186,ANTN,3,2,2,WED,13,1,12,7,314360,388258,13,40, , , , , , , , , , 
2016,187,ARND,3,1,1,WED,13,1,10,0,339453,379162,13,30, , , , , , , , , , 
2016,188,LISC,3,2,1,WED,13,1,13,55,323955,364406,13,50, , , , , , , , , , 
2016,189,MEAN,3,1,1,TUE,12,1,8,30,310746,403829,13,30, , , , , , , , , , 
2016,190,MIDU,2,1,2,WED,13,1,15,19,293224,393308,13,40,1,1,1,1,1,1,2,1,1,1
2016,191,ANTN,3,2,1,WED,13,1,16,10,327869,389712,13,60, , , , , , , , , , 
2016,192,BELC,3,3,4,WED,13,1,17,18,334384,378231,12,70, , , , , , , , , , 
2016,193,LISC,3,2,2,WED,13,1,21,0,327220,364933,1,30, , , , , , , , , , 
2016,194,ARBC,3,1,1,WED,13,1,22,50,307941,358415,13,30, , , , , , , , , , 
2016,195,ARBC,3,2,2,THU,14,1,8,50,296656,339706,13,30, , , , , , , , , , 
2016,196,CCGL,3,1,1,THU,14,1,9,11,290880,426680,13,60, , , , , , , , , , 
2016,197,ANTN,3,2,1,THU,14,1,9,10,329984,381859,13,30, , , , , , , , , , 
2016,198,NEMD,3,1,2,THU,14,1,8,50,306846,317838,13,60, , , , , , , , , , 
2016,199,BELC,3,1,2,THU,14,1,10,5,333769,374434,13,30, , , , , , , , , , 
2016,200,MIDU,3,1,1,THU,14,1,10,25,297097,403153,13,60, , , , , , , , , , 
2016,201,ARBC,3,1,1,THU,14,1,11,7,307995,360426,13,60, , , , , , , , , , 
2016,202,BELC,3,3,1,THU,14,1,11,48,335057,373969,13,30, , , , , , , , , , 
2016,203,ARND,3,1,1,THU,14,1,13,30,357148,376767,13,30, , , , , , , , , , 
2016,204,CCGL,3,1,1,THU,14,1,15,5,292481,412465,13,30, , , , , , , , , , 
2016,205,FERO,3,2,1,THU,14,1,15,41,244040,373102,13,50, , , , , , , , , , 
2016,206,FERO,3,2,2,THU,14,1,15,52,248038,372678,13,60, , , , , , , , , , 
2016,207,MEAN,2,1,1,THU,14,1,16,15,341200,387221,13,30,2,7,1,9,4,2,2,1,1,1
2016,208,FERO,3,1,2,THU,14,1,18,38,249034,362153,13,60, , , , , , , , , , 
2016,209,BELC,3,2,1,WED,13,1,7,30,328950,369540,13,50, , , , , , , , , , 
2016,210,FERO,3,2,2,FRI,15,1,4,59,256122,360371,13,60, , , , , , , , , , 
2016,211,BELC,3,2,5,FRI,15,1,8,55,331836,377752,13,30, , , , , , , , , , 
2016,212,NEMD,3,2,1,FRI,15,1,9,0,302810,333594,13,60, , , , , , , , , , 
2016,213,ARND,3,1,1,FRI,15,1,10,30,345117,369404,13,30, , , , , , , , , , 
2016,214,BELC,3,2,1,FRI,15,1,11,0,334001,373960,2,30, , , , , , , , , , 
2016,215,LISC,3,2,2,FRI,15,1,11,10,324068,358330,13,60, , , , , , , , , , 
2016,216,NEMD,3,2,1,FRI,15,1,12,31,293909,315317,13,60, , , , , , , , , , 
2016,217,BELC,3,2,1,FRI,15,1,9,30,332016,375477,13,30, , , , , , , , , , 
2016,218,ANTN,3,2,1,FRI,15,1,13,45,332200,385215,13,40, , , , , , , , , , 
2016,219,BELC,3,2,4,FRI,15,1,14,40,334133,375064,13,30, , , , , , , , , , 
2016,220,ARND,3,2,1,FRI,15,1,15,24,351883,380141,13,30, , , , , , , , , , 
2016,221,ANTN,3,3,1,FRI,15,1,15,39,331230,383704,13,30, , , , , , , , , , 
2016,222,ARND,3,2,1,FRI,15,1,15,55,350077,380976,13,30, , , , , , , , , , 
2016,223,MEAN,3,2,1,THU,14,1,16,30,315800,416846,13,60, , , , , , , , , , 
2016,224,DCST,3,1,1,FRI,15,1,17,15,241839,420177,13,40, , , , , , , , , , 
2016,225,ARND,3,2,1,FRI,15,1,14,45,350839,372262,13,60, , , , , , , , , , 
2016,226,LISC,3,1,2,FRI,15,1,18,48,324818,373966,13,60, , , , , , , , , , 
2016,227,BELC,3,1,1,FRI,15,1,20,40,337981,373961,13,30, , , , , , , , , , 
2016,228,ANTN,3,1,1,SAT,16,1,2,13,324202,386537,14,70, , , , , , , , , , 
2016,229,CCGL,2,1,1,SAT,16,1,4,0,285007,432130,2,30,12,7,1,11,4,1,2,1,1,1
2016,230,BELC,2,2,2,SAT,16,1,9,23,331227,371075,13,30,12,3,1,11,1,2,2,1,1,1
2016,231,NEMD,2,1,1,SAT,16,1,9,58,330573,314517,13,30,8,3,3,12,3,2,2,1,1,1
2016,232,ANTN,3,2,1,FRI,15,1,16,45,306112,387520,13,60, , , , , , , , , , 
2016,233,MIDU,3,2,1,SAT,16,1,13,34,278208,355893,13,60, , , , , , , , , , 
2016,234,BELC,3,2,1,SAT,16,1,13,42,333491,377526,13,30, , , , , , , , , , 
2016,235,NEMD,3,1,1,SAT,16,1,13,48,345232,336422,13,60, , , , , , , , , , 
2016,236,MIDU,3,2,2,SAT,16,1,15,8,275748,361273,13,60, , , , , , , , , , 
2016,237,BELC,3,2,1,SAT,16,1,16,4,332600,373603,13,30, , , , , , , , , , 
2016,238,ARND,3,3,4,SAT,16,1,16,35,346165,369352,13,30, , , , , , , , , , 
2016,239,DCST,3,2,1,SAT,16,1,15,0,234057,398053,13,30, , , , , , , , , , 
2016,240,ARBC,3,2,1,SAT,16,1,17,25,307924,358422,13,30, , , , , , , , , , 
2016,241,BELC,2,1,1,SAT,16,1,19,30,332012,374875,13,30,12,7,1,1,7,2,2,1,1,1
2016,242,NEMD,3,3,1,SAT,16,1,17,30,334772,316892,13,50, , , , , , , , , , 
2016,243,CCGL,3,1,1,SAT,16,1,21,28,267580,421969,13,30, , , , , , , , , , 
2016,244,ARBC,3,2,1,SUN,17,1,11,30,302128,356614,1,70, , , , , , , , , , 
2016,245,LISC,3,2,1,SUN,17,1,12,0,315363,373490,13,30, , , , , , , , , , 
2016,246,ARND,3,2,1,SUN,17,1,13,30,343281,359571,13,60, , , , , , , , , , 
2016,247,ARBC,3,2,1,SUN,17,1,13,55,321433,341642,13,60, , , , , , , , , , 
2016,248,NEMD,3,1,1,SUN,17,1,19,15,291011,314955,13,30, , , , , , , , , , 
2016,249,MEAN,2,2,1,SUN,17,1,20,44,337259,386141,13,40,1,1,1,1,4,2,2,1,1,1
2016,250,NEMD,3,2,2,SUN,17,1,20,20,308454,325929,13,30, , , , , , , , , , 
2016,251,BELC,3,2,1,SUN,17,1,22,30,333639,374986,13,30, , , , , , , , , , 
2016,252,BELC,3,1,1,MON,18,1,6,50,333501,374139,13,30, , , , , , , , , , 
2016,253,FERO,3,2,2,MON,18,1,8,32,244459,371855,13,60, , , , , , , , , , 
2016,254,DCST,3,2,2,MON,18,1,11,2,242626,418788,13,40, , , , , , , , , , 
2016,255,BELC,3,1,1,SUN,17,1,21,20,333439,372624,13,30, , , , , , , , , , 
2016,256,BELC,3,2,2,MON,18,1,18,45,328948,369539,13,30, , , , , , , , , , 
2016,257,BELC,3,5,7,MON,18,1,20,9,331936,373549,13,30, , , , , , , , , , 
2016,258,BELC,3,1,1,MON,18,1,16,15,333532,368513,13,40, , , , , , , , , , 
2016,259,ARBC,2,1,1,TUE,19,1,9,48,309025,364153,13,60,1,1,1,1,2,1,2,1,1,1
2016,260,BELC,3,2,2,TUE,19,1,10,46,339918,373990,13,30, , , , , , , , , , 
2016,261,ARBC,3,2,1,TUE,19,1,13,20,318240,350270,11,70, , , , , , , , , , 
2016,262,CCGL,2,2,1,TUE,19,1,14,0,277212,434864,13,60,12,7,1,9,2,1,1,1,1,1
2016,263,BELC,3,2,2,TUE,19,1,14,50,339168,376037,13,30, , , , , , , , , , 
2016,264,ARBC,3,1,1,MON,18,1,17,30,308626,358155,13,30, , , , , , , , , , 
2016,265,BELC,3,2,1,TUE,19,1,16,20,336629,372704,13,30, , , , , , , , , , 
2016,266,NEMD,3,1,1,MON,18,1,12,0,308468,326235,13,30, , , , , , , , , , 
2016,267,ARBC,3,2,4,TUE,19,1,16,30,286340,340726,13,60, , , , , , , , , , 
2016,268,MEAN,3,2,4,TUE,19,1,17,0,340757,401993,13,30, , , , , , , , , , 
2016,269,ARND,3,1,1,FRI,15,1,13,0,348567,372501,13,30, , , , , , , , , , 
2016,270,LISC,3,2,1,TUE,19,1,17,45,324730,365014,13,50, , , , , , , , , , 
2016,271,ARBC,3,3,1,TUE,19,1,18,56,287197,346038,13,30, , , , , , , , , , 
2016,272,CCGL,3,2,1,TUE,19,1,18,55,285033,433072,13,30, , , , , , , , , , 
2016,273,BELC,3,2,1,TUE,19,1,20,40,328002,369885,13,30, , , , , , , , , , 
2016,274,NEMD,3,2,1,WED,20,1,8,42,304953,328689,13,30, , , , , , , , , , 
2016,275,CCGL,3,2,1,WED,20,1,8,42,256430,420891,13,50, , , , , , , , , , 
2016,276,ANTN,3,1,1,WED,20,1,8,48,317448,384936,13,40, , , , , , , , , , 
2016,277,BELC,3,1,1,WED,20,1,7,50,332577,374806,13,30, , , , , , , , , , 
2016,278,MIDU,3,1,1,WED,20,1,9,23,282367,365823,13,60, , , , , , , , , , 
2016,279,CCGL,3,1,1,WED,20,1,9,29,285757,420878,13,60, , , , , , , , , , 
2016,280,MIDU,3,1,1,WED,20,1,9,34,285876,371446,13,60, , , , , , , , , , 
